Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Blackford County,165.58,77.3,36.7
Boone County,423.25,133.9,53.8
Brown County,316.63,48.9,26.6
Carroll County,375.02,54.1,25.4
Cass County,414.85,94.5,40
Clark County,376.45,295.6,128.1
Clay County,360.32,75.2,32.7
Clinton County,405.25,82,32.9
Crawford County,308.72,35.1,18.1
Daviess County,436.87,73.7,29
Dearborn County,307.42,164.1,66.1
Decatur County,373.32,69.1,30.1
DeKalb County,363.85,116.4,48.4
Delaware County,395.91,300.1,133.5
Dubois County,435.33,98,40.7
Elkhart County,467.97,426.5,167.9
Fayette County,215.16,112.9,50.7
Floyd County,148.96,504.1,216.1
Fountain County,397.88,43.6,19.9
Franklin County,391.05,60.1,24.8
Fulton County,371.27,56.6,26.4
Gibson County,499.16,68.7,30
Grant County,414.9,169.2,73.5
Greene County,545.92,61.1,28
Hamilton County,402.44,696.4,270.8
Hancock County,307.03,228.8,91.9
Harrison County,486.52,81.2,34.1
Hendricks County,408.78,357.4,136.3
Henry County,394.83,126.2,54.3
Howard County,293.92,282.4,132
Huntington County,387.72,97,41.3
Jackson County,513.91,83.2,35.7
Jasper County,561.39,59.8,23.5
Jay County,384.08,55.4,24
Jefferson County,362.89,89.9,39.7
Jennings County,378.35,75.7,32
Johnson County,321.79,435.8,176.8
Knox County,524.04,74.5,33
Kosciusko County,554.39,145.6,69.7
